predSkip;predSelect;actual;Skip;Select;query
-0.005683;-0.216262;0.000000;1;0;1
0.003445;-0.101641;0.000000;1;0;1
0.012940;-0.179836;0.000000;1;0;1
-0.011207;-0.113109;0.000000;1;0;1
-0.032647;-0.180682;0.000000;1;0;1
0.041589;-0.146173;0.000000;1;0;1
-0.058295;-0.212013;0.000000;1;0;1
0.021370;-0.172091;0.000000;1;0;1
-0.002820;-0.244913;0.000000;1;0;1
-0.032005;-0.246884;0.000000;1;0;1
-0.038131;-0.135799;0.000000;1;0;1
0.045831;-0.241553;0.000000;1;0;1
-0.012044;-0.276683;0.000000;1;0;1
0.022646;-0.067499;0.000000;1;0;1
0.059611;-0.186131;0.000000;1;0;1
-0.004353;-0.220664;0.000000;1;0;1
-0.009236;-0.242575;0.000000;1;0;1
0.057759;-0.175304;0.000000;1;0;1
0.007072;-0.132838;0.000000;1;0;1
0.121068;-0.289608;0.000000;1;0;1
