predSkip;predSelect;actual;Skip;Select;query
-0.010162;-0.207099;0.000000;1;0;1
-0.000947;-0.092925;0.000000;1;0;1
0.006980;-0.170643;0.000000;1;0;1
-0.012426;-0.103426;0.000000;1;0;1
-0.035293;-0.171735;0.000000;1;0;1
0.035938;-0.137314;0.000000;1;0;1
-0.058505;-0.203366;0.000000;1;0;1
0.015864;-0.162937;0.000000;1;0;1
-0.004938;-0.236601;0.000000;1;0;1
-0.034913;-0.237443;0.000000;1;0;1
-0.039991;-0.126930;0.000000;1;0;1
0.038935;-0.229649;0.000000;1;0;1
-0.015091;-0.268860;0.000000;1;0;1
0.015763;-0.057666;0.000000;1;0;1
0.053313;-0.177384;0.000000;1;0;1
-0.008120;-0.212542;0.000000;1;0;1
-0.012437;-0.233869;0.000000;1;0;1
0.051816;-0.165640;0.000000;1;0;1
0.001461;-0.123557;0.000000;1;0;1
0.110384;-0.280275;0.000000;1;0;1
