predSkip;predSelect;actual;Skip;Select;query
-0.049182;-0.258231;0.000000;1;0;1
-0.054431;-0.152809;0.000000;1;0;1
-0.038267;-0.226196;0.000000;0;1;1
-0.057686;-0.157280;0.000000;0;1;1
-0.079587;-0.224318;0.000000;0;1;1
-0.006421;-0.192617;0.000000;0;1;1
-0.112559;-0.260555;0.000000;0;1;1
-0.028149;-0.218550;0.000000;1;0;1
-0.040238;-0.281361;0.000000;1;0;1
-0.075409;-0.289056;0.000000;0;1;1
-0.086762;-0.183029;0.000000;0;1;1
0.008206;-0.280475;0.000000;1;0;1
-0.054894;-0.318787;0.000000;0;1;1
-0.034759;-0.120645;0.000000;1;0;1
0.017516;-0.226936;0.000000;0;1;1
-0.047438;-0.263498;0.000000;0;1;1
-0.060707;-0.290604;0.000000;0;1;1
-0.007570;-0.233551;0.000000;1;0;1
-0.046050;-0.179955;0.000000;1;0;1
0.084943;-0.332016;0.000000;0;1;1
