predSkip;predSelect;actual;Skip;Select;query
-0.020912;-0.210781;0.000000;1;0;1
-0.017502;-0.096448;0.000000;1;0;1
-0.006554;-0.174310;0.000000;1;0;1
-0.025780;-0.107405;0.000000;1;0;1
-0.049457;-0.175346;0.000000;1;0;1
0.024015;-0.140886;0.000000;1;0;1
-0.076176;-0.206923;0.000000;1;0;1
0.003085;-0.166583;0.000000;1;0;1
-0.015697;-0.239933;0.000000;1;0;1
-0.046962;-0.241243;0.000000;1;0;1
-0.055124;-0.130546;0.000000;1;0;1
0.030828;-0.234339;0.000000;1;0;1
-0.027967;-0.272022;0.000000;1;0;1
0.001353;-0.061589;0.000000;1;0;1
0.044268;-0.180871;0.000000;1;0;1
-0.019849;-0.215814;0.000000;1;0;1
-0.027193;-0.237399;0.000000;1;0;1
0.032030;-0.169574;0.000000;1;0;1
-0.011298;-0.127307;0.000000;1;0;1
0.102502;-0.283953;0.000000;1;0;1
