predSkip;predSelect;actual;Skip;Select;query
-0.003811;-0.208406;0.000000;1;0;1
0.006037;-0.094190;0.000000;1;0;1
0.014132;-0.171764;0.000000;1;0;1
-0.007594;-0.104919;0.000000;1;0;1
-0.029714;-0.173019;0.000000;1;0;1
0.042520;-0.138620;0.000000;1;0;1
-0.053795;-0.204695;0.000000;1;0;1
0.022819;-0.164185;0.000000;1;0;1
-0.000135;-0.237840;0.000000;1;0;1
-0.029216;-0.238757;0.000000;1;0;1
-0.033803;-0.128247;0.000000;1;0;1
0.045731;-0.231153;0.000000;1;0;1
-0.009560;-0.270011;0.000000;1;0;1
0.024025;-0.059035;0.000000;1;0;1
0.059550;-0.178630;0.000000;1;0;1
-0.001575;-0.213717;0.000000;1;0;1
-0.006249;-0.235163;0.000000;1;0;1
0.058529;-0.167080;0.000000;1;0;1
0.008505;-0.124870;0.000000;1;0;1
0.118915;-0.281468;0.000000;1;0;1
